Run on (4 X 3800 MHz CPU s)
2017-06-18 19:00:33
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
***WARNING*** Library was built as DEBUG. Timings may be affected.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_ListPushBackWithReserve<flat_list__raw< int, size_t >>/4",2835721,206.619,206.336,ns,7.75435e+07,1.93859e+07,,,
"BM_ListPushBackWithReserve<flat_list__raw< int, size_t >>/8",1750882,409.486,409.483,ns,7.81473e+07,1.95368e+07,,,
"BM_ListPushBackWithReserve<flat_list__raw< int, size_t >>/16",842393,791.168,791.16,ns,8.08939e+07,2.02235e+07,,,
"BM_ListPushBackWithReserve<flat_list__raw< int, size_t >>/32",425361,1650.1,1650.08,ns,7.75718e+07,1.9393e+07,,,
"BM_ListPushBackWithReserve<flat_list__raw< int, size_t >>/64",213726,3245.74,3245.71,ns,7.88732e+07,1.97183e+07,,,
"BM_ListPushBackWithReserve<flat_list__raw< int, size_t >>/128",109417,6441.36,6441.22,ns,7.9488e+07,1.9872e+07,,,
"BM_ListPushBackWithReserve<flat_list__raw< int, size_t >>/256",56101,12480.9,12480.6,ns,8.20472e+07,2.05118e+07,,,
"BM_ListPushBackWithReserve<flat_list__raw< int, size_t >>/512",29047,24695.3,24695,ns,8.29319e+07,2.0733e+07,,,
"BM_ListPushBackWithReserve<flat_list__raw< int, size_t >>/1024",14179,49605.8,49605.2,ns,8.25719e+07,2.0643e+07,,,
"BM_ListPushBackWithReserve<flat_list__raw< int, size_t >>/2048",7158,97837.4,97836.3,ns,8.37317e+07,2.09329e+07,,,
"BM_ListPushBackWithReserve<flat_list__raw< int, size_t >>/4096",3605,195913,195911,ns,8.36299e+07,2.09075e+07,,,
"BM_ListPushBackWithReserve<flat_list__raw< int, size_t >>/8192",1790,391581,391576,ns,8.36823e+07,2.09206e+07,,,
"BM_ListPushBackWithReserve<flat_list__raw< int, size_t >>/16384",887,780783,780774,ns,8.39372e+07,2.09843e+07,,,
"BM_ListPushBackWithReserve<flat_list__raw< int, size_t >>/32768",440,1.56493e+06,1.5649e+06,ns,8.37575e+07,2.09394e+07,,,
"BM_ListPushBackWithReserve<flat_list__raw< int, size_t >>/65536",223,3.13556e+06,3.13553e+06,ns,8.36044e+07,2.09011e+07,,,
"BM_ListPushBackWithReserve<flat_list__raw< int, size_t >>/131072",111,6.26179e+06,6.26172e+06,ns,8.37291e+07,2.09323e+07,,,
"BM_ListPushBackWithReserve<flat_list__raw< int, size_t >>/262144",55,1.25534e+07,1.25532e+07,ns,8.35303e+07,2.08826e+07,,,
"BM_ListPushBackWithReserve<flat_list__raw< int, size_t >>/524288",28,2.52099e+07,2.52095e+07,ns,8.31888e+07,2.07972e+07,,,
"BM_ListPushBackWithReserve<flat_list__raw< int, size_t >>_BigO",,12.0071,12.007,N,,,,,
"BM_ListPushBackWithReserve<flat_list__raw< int, size_t >>_RMS",,0.00505888,0.00505874,,,,,,
