Run on (4 X 3800 MHz CPU s)
2017-06-19 00:30:36
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
***WARNING*** Library was built as DEBUG. Timings may be affected.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_ListPushBackWithReserve<flat_list__raw_paged< int, size_t, 256 >>/4",2184051,291.944,291.941,ns,5.48056e+07,1.37014e+07,,,
"BM_ListPushBackWithReserve<flat_list__raw_paged< int, size_t, 256 >>/8",1259610,547.708,547.701,ns,5.8426e+07,1.46065e+07,,,
"BM_ListPushBackWithReserve<flat_list__raw_paged< int, size_t, 256 >>/16",648105,1078.88,1078.87,ns,5.93212e+07,1.48303e+07,,,
"BM_ListPushBackWithReserve<flat_list__raw_paged< int, size_t, 256 >>/32",329710,2128.02,2128,ns,6.01504e+07,1.50376e+07,,,
"BM_ListPushBackWithReserve<flat_list__raw_paged< int, size_t, 256 >>/64",163889,4272.81,4272.76,ns,5.99144e+07,1.49786e+07,,,
"BM_ListPushBackWithReserve<flat_list__raw_paged< int, size_t, 256 >>/128",81634,8538.56,8538.35,ns,5.99647e+07,1.49912e+07,,,
"BM_ListPushBackWithReserve<flat_list__raw_paged< int, size_t, 256 >>/256",41091,17051.3,17051.1,ns,6.00547e+07,1.50137e+07,,,
"BM_ListPushBackWithReserve<flat_list__raw_paged< int, size_t, 256 >>/512",20361,34290.8,34290.4,ns,5.97252e+07,1.49313e+07,,,
"BM_ListPushBackWithReserve<flat_list__raw_paged< int, size_t, 256 >>/1024",10028,68689,68688.5,ns,5.96315e+07,1.49079e+07,,,
"BM_ListPushBackWithReserve<flat_list__raw_paged< int, size_t, 256 >>/2048",5120,137063,137062,ns,5.97687e+07,1.49422e+07,,,
"BM_ListPushBackWithReserve<flat_list__raw_paged< int, size_t, 256 >>/4096",2561,273171,273168,ns,5.99776e+07,1.49944e+07,,,
"BM_ListPushBackWithReserve<flat_list__raw_paged< int, size_t, 256 >>/8192",1280,546402,546392,ns,5.99715e+07,1.49929e+07,,,
"BM_ListPushBackWithReserve<flat_list__raw_paged< int, size_t, 256 >>/16384",641,1.1112e+06,1.11119e+06,ns,5.89783e+07,1.47446e+07,,,
"BM_ListPushBackWithReserve<flat_list__raw_paged< int, size_t, 256 >>/32768",316,2.18721e+06,2.18718e+06,ns,5.99273e+07,1.49818e+07,,,
"BM_ListPushBackWithReserve<flat_list__raw_paged< int, size_t, 256 >>/65536",160,4.37297e+06,4.37291e+06,ns,5.99472e+07,1.49868e+07,,,
"BM_ListPushBackWithReserve<flat_list__raw_paged< int, size_t, 256 >>/131072",80,8.74641e+06,8.74629e+06,ns,5.9944e+07,1.4986e+07,,,
"BM_ListPushBackWithReserve<flat_list__raw_paged< int, size_t, 256 >>/262144",40,1.75369e+07,1.75366e+07,ns,5.97936e+07,1.49484e+07,,,
"BM_ListPushBackWithReserve<flat_list__raw_paged< int, size_t, 256 >>/524288",20,3.52202e+07,3.5219e+07,ns,5.9546e+07,1.48865e+07,,,
"BM_ListPushBackWithReserve<flat_list__raw_paged< int, size_t, 256 >>_BigO",,16.7744,16.7739,N,,,,,
"BM_ListPushBackWithReserve<flat_list__raw_paged< int, size_t, 256 >>_RMS",,0.00529476,0.005274,,,,,,
