Run on (4 X 3800 MHz CPU s)
2017-06-19 00:31:13
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
***WARNING*** Library was built as DEBUG. Timings may be affected.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_ListPushBackWithReserve<flat_list__raw_paged_rt< int, size_t >>/4",1768758,366.678,366.675,ns,4.36353e+07,1.09088e+07,,,
"BM_ListPushBackWithReserve<flat_list__raw_paged_rt< int, size_t >>/8",984158,735.175,735.164,ns,4.35277e+07,1.08819e+07,,,
"BM_ListPushBackWithReserve<flat_list__raw_paged_rt< int, size_t >>/16",496063,1447.57,1447.55,ns,4.42125e+07,1.10531e+07,,,
"BM_ListPushBackWithReserve<flat_list__raw_paged_rt< int, size_t >>/32",238695,2893.91,2893.87,ns,4.42314e+07,1.10578e+07,,,
"BM_ListPushBackWithReserve<flat_list__raw_paged_rt< int, size_t >>/64",119742,5781.18,5781.1,ns,4.42822e+07,1.10706e+07,,,
"BM_ListPushBackWithReserve<flat_list__raw_paged_rt< int, size_t >>/128",61443,11470.8,11470.5,ns,4.46361e+07,1.1159e+07,,,
"BM_ListPushBackWithReserve<flat_list__raw_paged_rt< int, size_t >>/256",30596,22910.2,22910,ns,4.46967e+07,1.11742e+07,,,
"BM_ListPushBackWithReserve<flat_list__raw_paged_rt< int, size_t >>/512",15313,45786.4,45785.9,ns,4.47299e+07,1.11825e+07,,,
"BM_ListPushBackWithReserve<flat_list__raw_paged_rt< int, size_t >>/1024",7735,90456.9,90456.2,ns,4.52816e+07,1.13204e+07,,,
"BM_ListPushBackWithReserve<flat_list__raw_paged_rt< int, size_t >>/2048",3934,178129,178127,ns,4.59898e+07,1.14974e+07,,,
"BM_ListPushBackWithReserve<flat_list__raw_paged_rt< int, size_t >>/4096",1950,356125,356120,ns,4.6007e+07,1.15017e+07,,,
"BM_ListPushBackWithReserve<flat_list__raw_paged_rt< int, size_t >>/8192",978,717507,717501,ns,4.56696e+07,1.14174e+07,,,
"BM_ListPushBackWithReserve<flat_list__raw_paged_rt< int, size_t >>/16384",490,1.42428e+06,1.42426e+06,ns,4.6014e+07,1.15035e+07,,,
"BM_ListPushBackWithReserve<flat_list__raw_paged_rt< int, size_t >>/32768",242,2.85897e+06,2.85893e+06,ns,4.58465e+07,1.14616e+07,,,
"BM_ListPushBackWithReserve<flat_list__raw_paged_rt< int, size_t >>/65536",121,5.7332e+06,5.73311e+06,ns,4.57246e+07,1.14311e+07,,,
"BM_ListPushBackWithReserve<flat_list__raw_paged_rt< int, size_t >>/131072",60,1.14144e+07,1.14143e+07,ns,4.59327e+07,1.14832e+07,,,
"BM_ListPushBackWithReserve<flat_list__raw_paged_rt< int, size_t >>/262144",30,2.2913e+07,2.29122e+07,ns,4.57649e+07,1.14412e+07,,,
"BM_ListPushBackWithReserve<flat_list__raw_paged_rt< int, size_t >>/524288",15,4.57105e+07,4.57098e+07,ns,4.58797e+07,1.14699e+07,,,
"BM_ListPushBackWithReserve<flat_list__raw_paged_rt< int, size_t >>_BigO",,21.8065,21.8061,N,,,,,
"BM_ListPushBackWithReserve<flat_list__raw_paged_rt< int, size_t >>_RMS",,0.00267736,0.00266081,,,,,,
